Green-winged Teal
Glaucous-winged Gull
Black-throated Gray Warbler
Violet-green Swallow
Northern Shoveler
Caspian Tern
Black-headed Grosbeak
Bald Eagle
Northwestern Crow
Bonaparte's Gull
House Sparrow
Double-crested Cormorant
MacGillivray's Warbler
Red-winged Blackbird
Brant
Surf Scoter
Golden-crowned Sparrow
Yellow-rumped Warbler
Rufous Hummingbird
Pelagic Cormorant
Savannah Sparrow
Fox Sparrow
Ruby-crowned Kinglet
Pied-billed Grebe
Mew Gull
Pacific Wren
Pigeon Guillemot
Tree Swallow
American Coot
Lesser Scaup
American Crow
Common Loon
Ruddy Duck
Cliff Swallow
Great Blue Heron
Spotted Towhee
Ring-billed Gull
Pacific Loon
American Goldfinch
Brewer's Blackbird
Black-capped Chickadee
Cedar Waxwing
Marsh Wren
Pine Siskin
Townsend's Warbler
European Starling
American Robin
Western Grebe
Red-breasted Merganser
Cackling Goose
Black Turnstone
Song Sparrow
Brandt's Cormorant
Willow Flycatcher
Killdeer
Least Sandpiper
Wood Duck
Dark-eyed Junco
Barrow's Goldeneye
Western Sandpiper
American Wigeon
Anna's Hummingbird
Northern Pintail
Golden-crowned Kinglet
Bufflehead
Greater Yellowlegs
Common Yellowthroat
Red-throated Loon
Warbling Vireo
Rhinoceros Auklet
Rock Pigeon
Bewick's Wren
House Finch
Wilson's Warbler
Horned Grebe
Brown-headed Cowbird
Northern Flicker
Varied Thrush
White-winged Scoter
Common Murre
White-crowned Sparrow
Canada Goose
Western Tanager
Chestnut-backed Chickadee
Red-tailed Hawk
Common Merganser
Steller's Jay
Bushtit
Yellow Warbler
Barn Swallow
Pacific-slope Flycatcher
Gadwall
Red-breasted Nuthatch
Swainson's Thrush
Snow Goose
Dunlin
Mallard
Orange-crowned Warbler
Western Scrub-Jay
